Season,Week,GameStatus,Day,Date,AwayTeam,AwayRecord,AwayScore,AwayWin,HomeTeam,HomeRecord,HomeScore,HomeWin,AwaySeeding,HomeSeeding,PostSeason
2022,Hall Of Fame,FINAL,THU,08/04,Jaguars,0-1,11.0,0.0,Raiders,1-0,27.0,1.0,,,0
2022,Preseason Week 1,FINAL,THU,08/11,Giants,1-0,23.0,1.0,Patriots,0-1,21.0,0.0,,,0
2022,Preseason Week 1,FINAL,THU,08/11,Titans,0-1,10.0,0.0,Ravens,1-0,23.0,1.0,,,0
2022,Preseason Week 1,FINAL,FRI,08/12,Falcons,1-0,27.0,1.0,Lions,0-1,23.0,0.0,,,0
2022,Preseason Week 1,FINAL,FRI,08/12,Browns,1-0,24.0,1.0,Jaguars,0-2,13.0,0.0,,,0
2022,Preseason Week 1,FINAL,FRI,08/12,Cardinals,1-0,36.0,1.0,Bengals,0-1,23.0,0.0,,,0
2022,Preseason Week 1,FINAL,FRI,08/12,Jets,1-0,24.0,1.0,Eagles,0-1,21.0,0.0,,,0
2022,Preseason Week 1,FINAL,FRI,08/12,Packers,0-1,21.0,0.0,49ers,1-0,28.0,1.0,,,0
2022,Preseason Week 1,FINAL,SAT,08/13,Panthers,1-0,23.0,1.0,Commanders,0-1,21.0,0.0,,,0
2022,Preseason Week 1,FINAL,SAT,08/13,Chiefs,0-1,14.0,0.0,Bears,1-0,19.0,1.0,,,0
2022,Preseason Week 1,FINAL,SAT,08/13,Colts,0-1,24.0,0.0,Bills,1-0,27.0,1.0,,,0
2022,Preseason Week 1,FINAL,SAT,08/13,Seahawks,0-1,25.0,0.0,Steelers,1-0,32.0,1.0,,,0
2022,Preseason Week 1,FINAL,SAT,08/13,Dolphins,1-0,26.0,1.0,Buccaneers,0-1,24.0,0.0,,,0
2022,Preseason Week 1,FINAL,SAT,08/13,Saints,0-1,13.0,0.0,Texans,1-0,17.0,1.0,,,0
2022,Preseason Week 1,FINAL,SAT,08/13,Cowboys,0-1,7.0,0.0,Broncos,1-0,17.0,1.0,,,0
2022,Preseason Week 1,FINAL,SAT,08/13,Rams,1-0,29.0,1.0,Chargers,0-1,22.0,0.0,,,0
2022,Preseason Week 1,FINAL,SUN,08/14,Vikings,0-1,20.0,0.0,Raiders,2-0,26.0,1.0,,,0
2022,Preseason Week 2,FINAL,THU,08/18,Bears,2-0,27.0,1.0,Seahawks,0-2,11.0,0.0,,,0
2022,Preseason Week 2,FINAL,FRI,08/19,Panthers,1-1,10.0,0.0,Patriots,1-1,20.0,1.0,,,0
2022,Preseason Week 2,FINAL,FRI,08/19,Saints,0-2,10.0,0.0,Packers,1-1,20.0,1.0,,,0
2022,Preseason Week 2,FINAL,FRI,08/19,Texans,2-0,24.0,1.0,Rams,1-1,20.0,0.0,,,0
2022,Preseason Week 2,FINAL,SAT,08/20,Lions,1-1,27.0,1.0,Colts,0-2,26.0,0.0,,,0
2022,Preseason Week 2,FINAL,SAT,08/20,Broncos,1-1,15.0,0.0,Bills,2-0,42.0,1.0,,,0
2022,Preseason Week 2,FINAL,SAT,08/20,Commanders,0-2,14.0,0.0,Chiefs,1-1,24.0,1.0,,,0
2022,Preseason Week 2,FINAL,SAT,08/20,Buccaneers,0-2,3.0,0.0,Titans,1-1,13.0,1.0,,,0
2022,Preseason Week 2,FINAL,SAT,08/20,49ers,2-0,17.0,1.0,Vikings,0-2,7.0,0.0,,,0
2022,Preseason Week 2,FINAL,SAT,08/20,Steelers,2-0,16.0,1.0,Jaguars,0-3,15.0,0.0,,,0
2022,Preseason Week 2,FINAL,SAT,08/20,Raiders,3-0,15.0,1.0,Dolphins,1-1,13.0,0.0,,,0
2022,Preseason Week 2,FINAL,SAT,08/20,Cowboys,1-1,32.0,1.0,Chargers,0-2,18.0,0.0,,,0
2022,Preseason Week 2,FINAL,SUN,08/21,Eagles,1-1,21.0,1.0,Browns,1-1,20.0,0.0,,,0
2022,Preseason Week 2,FINAL,SUN,08/21,Bengals,0-2,22.0,0.0,Giants,2-0,25.0,1.0,,,0
2022,Preseason Week 2,FINAL,SUN,08/21,Ravens,2-0,24.0,1.0,Cardinals,1-1,17.0,0.0,,,0
2022,Preseason Week 2,FINAL,MON,08/22,Falcons,1-1,16.0,0.0,Jets,2-0,24.0,1.0,,,0
2022,Preseason Week 3,FINAL,THU,08/25,Packers,1-2,10.0,0.0,Chiefs,2-1,17.0,1.0,,,0
2022,Preseason Week 3,FINAL,THU,08/25,49ers,2-1,0.0,0.0,Texans,3-0,17.0,1.0,,,0
2022,Preseason Week 3,FINAL,FRI,08/26,Bills,2-1,0.0,0.0,Panthers,2-1,21.0,1.0,,,0
2022,Preseason Week 3,FINAL,FRI,08/26,Seahawks,0-3,26.0,0.0,Cowboys,2-1,27.0,1.0,,,0
2022,Preseason Week 3,FINAL,FRI,08/26,Chargers,0-3,10.0,0.0,Saints,1-2,27.0,1.0,,,0
2022,Preseason Week 3,FINAL,FRI,08/26,Patriots,1-2,6.0,0.0,Raiders,4-0,23.0,1.0,,,0
2022,Preseason Week 3,FINAL,SAT,08/27,Jaguars,0-4,12.0,0.0,Falcons,2-1,28.0,1.0,,,0
2022,Preseason Week 3,FINAL,SAT,08/27,Rams,1-2,7.0,0.0,Bengals,1-2,16.0,1.0,,,0
2022,Preseason Week 3,FINAL,SAT,08/27,Commanders,0-3,15.0,0.0,Ravens,3-0,17.0,1.0,,,0
2022,Preseason Week 3,FINAL,SAT,08/27,Eagles,1-2,10.0,0.0,Dolphins,2-1,48.0,1.0,,,0
2022,Preseason Week 3,FINAL,SAT,08/27,Bears,3-0,21.0,1.0,Browns,1-2,20.0,0.0,,,0
2022,Preseason Week 3,FINAL,SAT,08/27,Cardinals,1-2,23.0,0.0,Titans,2-1,26.0,1.0,,,0
2022,Preseason Week 3,FINAL,SAT,08/27,Buccaneers,0-3,10.0,0.0,Colts,1-2,27.0,1.0,,,0
